,Id,file,Objects
0,0,CV-Bench/ADE20K/validation/images/ADE_val_00000248.jpg,organ
1,1,CV-Bench/ADE20K/validation/images/ADE_val_00001168.jpg,cushion
2,2,CV-Bench/ADE20K/validation/images/ADE_val_00001170.jpg,lamp
3,3,CV-Bench/ADE20K/validation/images/ADE_val_00001171.jpg,"curtain, drape, drapery, mantle, pall"
4,4,CV-Bench/ADE20K/validation/images/ADE_val_00001179.jpg,"painting, picture"
5,5,CV-Bench/ADE20K/validation/images/ADE_val_00001183.jpg,bed
6,6,CV-Bench/ADE20K/validation/images/ADE_val_00001194.jpg,wall
7,7,CV-Bench/ADE20K/validation/images/ADE_val_00001195.jpg,"television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box"
8,8,CV-Bench/ADE20K/validation/images/ADE_val_00000245.jpg,chest
9,9,CV-Bench/ADE20K/validation/images/ADE_val_00000250.jpg,wall
10,10,CV-Bench/ADE20K/validation/images/ADE_val_00001245.jpg,"windowpane, window"
11,11,CV-Bench/ADE20K/validation/images/ADE_val_00001255.jpg,"hat, chapeau, lid"
12,12,CV-Bench/ADE20K/validation/images/ADE_val_00001257.jpg,"curtain, drape, drapery, mantle, pall"
13,13,CV-Bench/ADE20K/validation/images/ADE_val_00000312.jpg,lamp
14,14,CV-Bench/ADE20K/validation/images/ADE_val_00000313.jpg,"windowpane, window"
15,15,CV-Bench/ADE20K/validation/images/ADE_val_00000949.jpg,"candlestick, candle holder"
16,16,CV-Bench/ADE20K/validation/images/ADE_val_00001312.jpg,"glass, drinking glass"
17,17,CV-Bench/ADE20K/validation/images/ADE_val_00001320.jpg,"painting, picture"
18,18,CV-Bench/ADE20K/validation/images/ADE_val_00001376.jpg,armchair
19,19,CV-Bench/ADE20K/validation/images/ADE_val_00001378.jpg,"switch, electric switch, electrical switch"
20,20,CV-Bench/ADE20K/validation/images/ADE_val_00001380.jpg,buckets
21,21,CV-Bench/ADE20K/validation/images/ADE_val_00000423.jpg,"blind, screen"
22,22,CV-Bench/ADE20K/validation/images/ADE_val_00000430.jpg,wall
23,23,CV-Bench/ADE20K/validation/images/ADE_val_00000431.jpg,"curtain, drape, drapery, mantle, pall"
